[2025-10-15 13:21:35+0300] [INFO] Starting model server on 36285 for compression
[2025-10-15 13:21:35+0300] [INFO] which python: /usr/bin/python
[2025-10-15 13:21:35+0300] [INFO] which uvicorn: /export/home/proiecte/aux/ovidiu.ghibea/.local/bin/uvicorn
[2025-10-15 13:21:35+0300] [INFO] key env: MCP_TRANSPORT=stdio MCP_BASE_DIR=/export/home/proiecte/aux/ovidiu.ghibea/Futural_WebApp/MCP-main
[2025-10-15 13:21:35+0300] [INFO] SLURM_JOB_GPUS=3 CUDA_VISIBLE_DEVICES=0
[2025-10-15 13:21:35+0300] [INFO] Uvicorn (srun step) PID: 1519051
[2025-10-15 13:24:34+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:36+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:38+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:40+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:42+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:44+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:46+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:48+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:50+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:52+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:54+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:56+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:58+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:00+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:02+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:04+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:06+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:08+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:10+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:12+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:14+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:16+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:18+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:20+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:22+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:24+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:26+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:28+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:30+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:32+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:34+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:36+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:38+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:41+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:43+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:45+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:47+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:49+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:51+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:53+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:55+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:57+0300] [INFO] Waiting for model server health...
[2025-10-15 13:25:59+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:01+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:03+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:05+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:07+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:09+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:11+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:13+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:15+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:17+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:19+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:21+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:23+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:25+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:27+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:29+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:31+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:33+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:35+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:37+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:39+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:41+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:43+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:45+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:47+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:49+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:51+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:53+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:55+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:57+0300] [INFO] Waiting for model server health...
[2025-10-15 13:26:59+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:01+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:03+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:05+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:07+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:09+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:11+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:13+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:15+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:17+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:19+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:21+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:23+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:25+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:27+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:29+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:31+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:33+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:35+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:37+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:39+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:41+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:43+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:45+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:47+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:49+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:51+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:53+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:55+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:57+0300] [INFO] Waiting for model server health...
[2025-10-15 13:27:59+0300] [INFO] Waiting for model server health...
[2025-10-15 13:28:01+0300] [INFO] Waiting for model server health...
[2025-10-15 13:28:03+0300] [INFO] Waiting for model server health...
[2025-10-15 13:28:05+0300] [INFO] Waiting for model server health...
[2025-10-15 13:28:07+0300] [INFO] Waiting for model server health...
[2025-10-15 13:28:09+0300] [INFO] Waiting for model server health...
[2025-10-15 13:28:11+0300] [INFO] Waiting for model server health...
[2025-10-15 13:28:13+0300] [INFO] Waiting for model server health...
[2025-10-15 13:28:15+0300] [INFO] Waiting for model server health...
[2025-10-15 13:28:17+0300] [ERROR] Health check timed out.
[2025-10-15 13:28:17+0300] ========== DIAGNOSTICS (rc=1) ==========
JobID                   JobName      State ExitCode DerivedExitCode    Elapsed  Timelimit    ReqTRES  AllocTRES             NodeList                 End                         Reason        Comment 
------------ ------------------ ---------- -------- --------------- ---------- ---------- ---------- ---------- -------------------- ------------------- ------------------------------ -------------- 
218931              compression    RUNNING      0:0             0:0   00:06:44   12:00:00 billing=1+ billing=1+    dgxa100-ncit-wn02             Unknown                           None                
218931.batch              batch    RUNNING      0:0                   00:06:44                       cpu=1,gre+    dgxa100-ncit-wn02             Unknown                                               
218931.exte+             extern    RUNNING      0:0                   00:06:44                       billing=1+    dgxa100-ncit-wn02             Unknown                                               
218931.0                   bash    RUNNING      0:0                   00:06:43                       cpu=1,gre+    dgxa100-ncit-wn02             Unknown                                               
JobId=218931 JobName=compression
   UserId=ovidiu.ghibea(109059) GroupId=studfils(9016) MCS_label=N/A
   Priority=1 Nice=0 Account=student QOS=normal
   JobState=RUNNING Reason=None Dependency=(null)
   Requeue=0 Restarts=0 BatchFlag=1 Reboot=0 ExitCode=0:0
   DerivedExitCode=0:0
   RunTime=00:06:44 TimeLimit=12:00:00 TimeMin=N/A
   SubmitTime=2025-10-15T13:21:33 EligibleTime=2025-10-15T13:21:33
   AccrueTime=2025-10-15T13:21:33
   StartTime=2025-10-15T13:21:34 EndTime=2025-10-16T01:21:34 Deadline=N/A
   SuspendTime=None SecsPreSuspend=0 LastSchedEval=2025-10-15T13:21:34 Scheduler=Main
   Partition=dgxa100 AllocNode:Sid=0.0.0.0:1370253
   ReqNodeList=dgxa100-ncit-wn02 ExcNodeList=(null)
   NodeList=dgxa100-ncit-wn02
   BatchHost=dgxa100-ncit-wn02
   NumNodes=1 NumCPUs=1 NumTasks=1 CPUs/Task=1 ReqB:S:C:T=0:0:*:*
   ReqTRES=cpu=1,mem=40G,node=1,billing=1,gres/gpu=1
   AllocTRES=cpu=1,mem=40G,node=1,billing=1,gres/gpu=1
   Socks/Node=* NtasksPerN:B:S:C=0:0:*:* CoreSpec=*
   JOB_GRES=gpu:tesla_a100:1
     Nodes=dgxa100-ncit-wn02 CPU_IDs=238 Mem=40960 GRES=gpu:tesla_a100:1(IDX:3)
   MinCPUsNode=5 MinMemoryNode=40G MinTmpDiskNode=0
   Features=(null) DelayBoot=00:00:00
   OverSubscribe=YES Contiguous=0 Licenses=(null) Network=(null)
   Command=/export/home/proiecte/aux/ovidiu.ghibea/Futural_WebApp/run_model_job.sh
   WorkDir=/export/home/proiecte/aux/ovidiu.ghibea/Futural_WebApp
   StdErr=/export/home/proiecte/aux/ovidiu.ghibea/Futural_WebApp/logs/compression/218931/compression.err
   StdIn=/dev/null
   StdOut=/export/home/proiecte/aux/ovidiu.ghibea/Futural_WebApp/logs/compression/218931/compression.out
   TresPerNode=gres/gpu:tesla_a100:1
   

-- ps (uvicorn srun) --
    PID    PPID    PGID     ELAPSED STAT CMD
1519051 1519026 1519026       06:43 Sl   srun --ntasks=1 --cpu-bind=none --gres=gpu:1 --gpu-bind=single:1 bash -lc PYTHONUNBUFFERED=1 uvicorn http_model_server:app --host 0.0.0.0 --port 36285 --log-level info
-- autossh tail --
[2025-10-15 13:28:19+0300] ========== END DIAGNOSTICS ==========
[2025-10-15T13:30:22.340294] Loading model: compression from meta-llama/Llama-3.1-8B-Instruct
[2025-10-15T13:30:59.398136] Model loaded and ready.
[2025-10-15T13:30:59.998639] [WORKER] started
